paper number,DOI,year,deposited_material (accurate),deposited_material,deposited_material(elements),RE,WE,WE(element),Electrolyte,El_conc,A_concentration,scan_rate,pH,Pot_Onset_V(E_used),Pot_Ox_V(E_used),current_density,onset_pot,ox_pot,ox_onset
53,https://doi.org/10.1016/j.jcat.2019.10.037,2019,Au@Ag,Au_Ag,Au_Ag,RHE,GCE,C,KOH,"0,1",1,10,"13,98","0,71","1,41",2,"-0,0393","0,6607","0,7"
54,https://doi.org/10.1002/elan.201900611,2020,20 % Pd/MWCNT ,Pd_CNT,Pd_C,NHE,GCE,C,KOH,"0,5","0,1",30,"12,83","-0,3","0,1878","9,906","-0,3","0,1878","0,4878"
55,https://doi.org/10.1002/advs.202105344,2022,PtNDs@CoS2-NrGO ,Pt_Co_S_N_rGO,Pt_Co_S_N_O_C,Ag/AgCl,GCE,C,H2SO4,"0,5",1,50,"-0,03","0,39","0,66582","0,43812","0,589","0,86482","0,27582"
56,https://doi.org/10.1016/j.apcatb.2023.123104,2023,SbOx-Pt/OMC-2,Sb_O_Pt_OMC,Sb_O_Pt_C,RHE,GCE,C,H2SO4,"0,5",2,50,"-0,32","0,723","0,9205","54,40554","0,74129","0,93879","0,1975"
57,https://doi.org/10.1016/j.mcat.2022.112874,2023,Pt@PdS2-MWCNT,Pt_Pd_S_CNT,Pt_Pd_S_C,Ag/AgCl,GCE,C,H2SO4,"0,5",1,50,"-0,03","0,353","0,6","58,44","0,552","0,799","0,247"
58,https://doi.org/10.1016/j.ijhydene.2012.12.030,2013,Pd/C/PMMA,Pd_C,Pd_C,NHE,GCE,C,KOH,"0,3","0,1",20,"12,89","-0,2","0,045","13,86","-0,2","0,045","0,245"
58,https://doi.org/10.1016/j.ijhydene.2012.12.030,2013,Pd/MWCNT/PMMA,Pd_CNT,Pd_C,NHE,GCE,C,KOH,"0,3","0,1",20,"12,89","-0,2497","0,005",25,"-0,2497","0,005","0,2547"
59,https://doi.org/10.1002/celc.202201114,2023,Pt/C,Pt_C,Pt_C,Ag/AgCl,CP,C,H2SO4,"0,5",2,20,"-0,32","0,465","0,63","3,56074","0,664","0,829","0,165"
59,https://doi.org/10.1002/celc.202201114,2023,Pt7Cu3/C,Pt_Cu_C,Pt_Cu_C,Ag/AgCl,CP,C,H2SO4,"0,5",2,20,"-0,32","0,348","0,63","3,8785","0,547","0,829","0,282"
60,https://doi.org/10.1016/j.carbon.2022.11.067,2022,Au nanoflower/CP,Au,Au,RHE,CP,C,NaOH,"0,1","0,1",,"12,96",1,"1,22",28,"0,23536","0,45536","0,22"
61,https://doi.org/10.1016/j.electacta.2023.143344,2023,Pd/NG,Pd_N_G,Pd_N_C,Hg/HgO,GCE,C,KOH,1,1,50,"13,79","-0,16112","-0,0528","4,43","-0,30112","-0,1928","0,10832"
61,https://doi.org/10.1016/j.electacta.2023.143344,2023,PdBx/NG,Pd_B_N_G,Pd_B_N_C,Hg/HgO,GCE,C,KOH,1,1,50,"13,79","-0,263889","-0,0472223","8,55","-0,403889","-0,1872223","0,2166667"
62,https://doi.org/10.1016/j.cej.2023.142446,2023,PdPtCo NRs,Pd_Pt_Co,Pd_Pt_Co,RHE,GCE,C,KOH,1,"0,1",50,"12,71","0,56286","0,8","13,6","-0,20178","0,03536","0,23714"
63,https://doi.org/10.1016/j.cplett.2023.140864,2023,Ni1.5Fe13.5@Pd85/C,Ni_Fe_Pd_C,Ni_Fe_Pd_C,RHE,GCE,C,KOH,1,1,20,"13,79","0,6","0,85172","8,72","-0,226","0,02572","0,25172"
64,https://doi.org/10.1080/15567036.2019.1683099,2023,Pt/CNT,Pt_CNT,Pt_C,RHE,GCE,C,KOH,"0,5","0,5",50,"13,56","0,47102","0,7637","1,7281","-0,32902","-0,03634","0,29268"
65,https://doi.org/10.1038/s41598-023-40374-4,2023,PdNiSn/GC (Pd:Ni:Sn=2:1:1),Pd_Ni_Sn,Pd_Ni_Sn,RHE,GCE,C,KOH,"0,1","0,3",50,"13,44","0,6","0,85","17,5","-0,20004","0,04996","0,25"
66,https://doi.org/10.1016/j.apsusc.2022.155225,2022,PtIr THH,Pt_Ir,Pt_Ir,SCE,GCE,C,HClO4,1,1,50,"-0,03","-0,5711","-0,2434","17,6","-0,3271","0,000599999999999989","0,3277"
67,https://doi.org/10.1016/j.ijhydene.2022.12.055,2022,PdCu@Pd/C,Pd_Cu_Pd_C,Pd_Cu_Pd_C,RHE,GCE,C,KOH,1,1,50,"13,79","0,6376","0,887","13,6","-0,17601","0,0733900000000001","0,2494"
67,https://doi.org/10.1016/j.ijhydene.2022.12.055,2022,PdPt/C,Pd_Pt_C,Pd_Pt_C,RHE,GCE,C,KOH,1,1,50,"13,79","0,6376","0,9","10,27","-0,17601","0,0863900000000001","0,2624"
67,https://doi.org/10.1016/j.ijhydene.2022.12.055,2022,PdAg/C,Pd_Ag_C,Pd_Ag_C,RHE,GCE,C,KOH,1,1,50,"13,79","0,647","0,914","7,1461","-0,16661","0,10039","0,267"
68,https://doi.org/10.1149/1945-7111/acee27,2023,Pd/Ni Foam,Pd,Pd,RHE,NF,Ni,NaOH,2,1,10,"13,62","0,6","1,03","219,66","-0,20358","0,22642","0,43"
68,https://doi.org/10.1149/1945-7111/acee27,2023,Pd/Ni Foam,Pd_Ni,Pd_Ni,RHE,NF,Ni,NaOH,2,1,10,"13,62","0,6","1,09","314,89","-0,20358","0,28642","0,49"
69,https://doi.org/10.1016/j.electacta.2023.142325,2023,NiOxHy@Carbon Felt,Ni_O_H,Ni_O_H,SCE,CC,C,NaOH,"0,1","0,008",10,"11,86","0,4229","0,6907","8,88","0,6669","0,9347","0,2678"
70,https://doi.org/10.1016/j.ijhydene.2022.12.274,2023,PdNiP/50nmSAIC,Pd_N_P,Pd_N_P,SCE,GCE,C,KOH,1,1,50,"13,79","-0,6","-0,16735","2,832","-0,356","0,07665","0,43265"
